#	centrality	avg_b	error_b	avg_npart	error_npart	avg_nch	error_nch	avg_nc_by_npart_pair
1.000000e+01	4.487433e+00	1.592442e+00	3.101313e+02	5.562323e+01	1.221653e+03	2.797969e+02	7.878295e+00
3.000000e+01	8.205352e+00	8.359491e-01	1.617903e+02	3.346077e+01	5.404114e+02	1.339432e+02	6.680391e+00
4.500000e+01	1.009954e+01	4.459098e-01	9.019241e+01	1.205152e+01	2.628990e+02	3.866096e+01	5.829736e+00
5.500000e+01	1.117837e+01	4.648628e-01	5.715084e+01	8.819672e+00	1.523314e+02	2.569389e+01	5.330855e+00
6.500000e+01	1.217157e+01	5.062020e-01	3.307735e+01	6.054121e+00	8.091678e+01	1.602315e+01	4.892580e+00
7.500000e+01	1.311782e+01	5.839077e-01	1.675294e+01	3.793356e+00	3.800536e+01	9.133902e+00	4.537157e+00
4.000000e+01	1.363639e+01	5.861121e-01	1.086534e+01	3.548209e-01	2.347552e+01	1.390898e-02	4.321177e+00
0.000000e+00	1.355987e+01	5.570976e-01	1.061287e+01	5.255716e-01	2.291682e+01	2.060239e-02	4.318686e+00
0.000000e+00	1.358839e+01	5.599411e-01	1.004380e+01	4.094018e-01	2.234449e+01	2.890483e-02	4.449411e+00
0.000000e+00	1.372977e+01	6.097840e-01	9.911072e+00	2.889395e-01	2.146027e+01	2.690779e-01	4.330565e+00
0.000000e+00	1.363385e+01	5.653971e-01	9.655117e+00	4.927077e-01	2.068408e+01	1.931415e-02	4.284584e+00
0.000000e+00	1.380500e+01	6.303780e-01	8.984629e+00	2.658627e-01	1.974243e+01	2.603923e-01	4.394712e+00
0.000000e+00	1.381096e+01	6.067321e-01	8.933189e+00	2.496944e-01	1.900938e+01	9.787992e-03	4.255900e+00
0.000000e+00	1.374874e+01	5.792726e-01	8.433358e+00	5.062282e-01	1.822306e+01	2.812133e-01	4.321662e+00
1.620619e-313	1.399668e+01	6.780396e-01	7.978176e+00	1.461074e-01	1.732554e+01	5.727407e-03	4.343234e+00
